Plant,Name of Plant,Plant Family,Virus Genome,Virus Type,Virus Family,Name of Virus,Virus Strain,Type of Extract,Active Class,Actve Compound,Title of Paper,Name of Author,Reference of Journal,PMID No. 
Angiosperm(Phanerogams),Jasminum officinale L.,Oleaceae,DNA,Class VII,Hepadnaviridae,HBV,n/a,Hydroalcoholic extract,n/a,Ole,Antiviral efficacy against hepatitis B virus replication of oleuropein isolated from Jasminum officinale L. var. grandiflorum,Zhao G. et. al.,J Ethnopharmacol. 2009 Sep 7;125(2):265-8,19580857
Angiosperm(Phanerogams),Lactuca sativa var.,Asteraceae,RNA,Class IV,Picornaviridae,Cox,Cox-B3,"Butanol extract, Ethyl acetate extract and Methanol extract","Phenolic compounds- Flavonoids, Tannins",n/a,"Antioxidant, antibacterial, and antiviral effects of Lactuca sativa extracts",Edziri HL. et. al.,"Industrial Crops and ProductsVolume 34, Issue 1, July 2011, Pages 1182-1185",
Angiosperm(Phanerogams),Myrothamnus flabelifolia Welw.,Myrothamnaceae,DNA,Class I,Herpesviridae,HSV,HSV-1,n/a,Polyphenols compounds- Tannins,n/a,Proanthocyanidin-enriched extract from Myrothamnus flabellifolia Welw. exerts antiviral activity against herpes simplex virus type 1 by inhibition of viral adsorption and penetration,Gescher K. et. al.,J Ethnopharmacol. 2011 Mar 24;134(2),21211557
Angiosperm(Phanerogams),Psidium guajava Linn.,Myrtaceae,DNA,Class I,"Nimaviridae
",WSSV,n/a,n/a,"Flavonoids, Resins, Coumarins, Phenols, Quinines, Alkaloids, Tannins, Polyphenols",n/a,Screening and characterization of antiviral compounds from Psidium guajava Linn. root bark against white spot syndrome virus,Velmurugan S. et. al.,"Indian Journal of Natural Product and Resources Vol.3(2), June 2012,pp.208-214",
Angiosperm(Phanerogams),Myristica fragrance Houtt.,Myristicaceae,RNA,Class VI,Retroviridae,Human Leukemia Virus,n/a,Methanol extract,Polyphenols,n/a,Myristica fragrans Houtt. Methanolic Extract induces Apoptosis in a Human Leukemia Cell Line through SIRT1 mRNA Downregulation,Chirathaworn C. et. al.,J Med Assoc Thai. 2007 Nov;90(11):2422-8,18181330
Angiosperm(Phanerogams),Zizyphusspina christi,Rhamnaceae,RNA,Class V,Paramyxoviridae,NDV,n/a,Methanol extract,"Protenaceous substances, Polypeptides",n/a,"The antibacterial, antiviral activities and phytochemical screening of some Sudanese medicinal plants",Letidal EL. and Mahasin EL. et. al.,"EurAsian Journal of BioSciencesEurAsia J BioSci 4, 8-16 (2010)",
Angiosperm(Phanerogams),Artocarpous heterophyllus Lam.,Moraceae,RNA,Class VI,Retroviridae,HIV,HIV-1,Crude hexane extract,n/a,n/a,Anti-HIV-1 reverse transcriptase activities of hexane extracts from some Asian medicinal plants,Silprasit K. et. al.,"Journal of Medicinal Plants Research Vol. 5(19), pp. 4899-4906, 23 September, 2011",
Angiosperm(Phanerogams),Calophyllum lanigerum Miq.var,Calophyllaceae,RNA,Class VI,Retroviridae,HIV,n/a,Crude hexane extract,n/a,Calanolide A- Coumarins,Anti-HIV-1 reverse transcriptase activities of hexane extracts from some Asian medicinal plants,Silprasit K. et. al.,"Journal of Medicinal Plants Research Vol. 5(19), pp. 4899-4906, 23 September, 2011",
Angiosperm(Phanerogams),Swertia macrosperma,Gentianaceae,RNA,Class VI,Retroviridae,HIV,n/a,Crude hexane extract,n/a,Swertiabisxanthone-1,Anti-HIV-1 reverse transcriptase activities of hexane extracts from some Asian medicinal plants,Silprasit K. et. al.,"Journal of Medicinal Plants Research Vol. 5(19), pp. 4899-4906, 23 September, 2011",
Angiosperm(Phanerogams),Swertia punicea,Gentianaceae,RNA,Class VI,Retroviridae,HIV,n/a,Crude hexane extract,n/a,Swertipunicoside,Anti-HIV-1 reverse transcriptase activities of hexane extracts from some Asian medicinal plants,Silprasit K. et. al.,"Journal of Medicinal Plants Research Vol. 5(19), pp. 4899-4906, 23 September, 2011",
Angiosperm(Phanerogams),Swertia franchetiana,Gentianaceae,RNA,Class VI,Retroviridae,HIV,n/a,Crude hexane extract,n/a,Swertifrancheside,Anti-HIV-1 reverse transcriptase activities of hexane extracts from some Asian medicinal plants,Silprasit K. et. al.,"Journal of Medicinal Plants Research Vol. 5(19), pp. 4899-4906, 23 September, 2011",
Angiosperm(Phanerogams),Juglans mandshurica,Juglandaceae,RNA,Class VI,Retroviridae,HIV,n/a,n/a,Flavonoids,Glucopyranosides,Anti-HIV-1 reverse transcriptase activities of hexane extracts from some Asian medicinal plants,Silprasit K. et. al.,"Journal of Medicinal Plants Research Vol. 5(19), pp. 4899-4906, 23 September, 2011",
Angiosperm(Phanerogams),Caesalpinia pulcherrima,Fabaceae,DNA,Class I,Herpesviridae,HSV,HSV-1,Aqueous extract,Flavonoids,Quercetin,In vitro antiviral activities of Caesalpinia pulcherrima and its related flavonoids,Chiang LC. et. al.,J Antimicrob Chemother. 2003 Aug;52(2):194-8. Epub 2003 Jul 1,12837746
Angiosperm(Phanerogams),Trollius chinensis,Ranunculoideae,RNA,Class V,Paramyxoviridae,Parainfluenza virus,Parainfluenza virus-3,Crude ethanol extract,Flavonoids,"Orientin, Vitexin",Antiviral activities of flavonoids and organic acid from Trollius chinensis Bunge,Li YL. et. al.,J Ethnopharmacol. 2002 Mar;79(3):365-8,11849843
Angiosperm(Phanerogams),Polygonatum cyrtonema,Asparagaceae,DNA,Class I,Herpesviridae,HSV,n/a,n/a,n/a,Neutral polysaccharide- PD,Structure of polysaccharide from Polygonatum cyrtonema Hua and the antiherpetic activity of its hydrolyzed fragments,Liu F. et. al.,Antiviral Res. 2004 Sep;63(3):183-9,15451186
Angiosperm(Phanerogams),Coffea arabica,Rubiaceae,DNA,Class VII,Hepadnaviridae,HBV,n/a,n/a,Polyphenols,"Chlorogenic acid Quinic acid, Caffeic acid.","Anti-hepatitis B virus activity of chlorogenic acid, quinic acid and caffeic acid in vivo and in vitro",Wang GF. et. al.,Antiviral Res. 2009 Aug;83(2):186-90,19463857
Angiosperm(Phanerogams),Carissa edulis,Apocynaceae,DNA,Class I,Herpesviridae,HSV,n/a,n/a,n/a,n/a,Anti-viral activity of the extracts of a Kenyan medicinal plant Carissa edulis against herpes simplex virus,Tolo FM. et. al.,J Ethnopharmacol. 2006 Mar 8;104(1-2):92-9,16198524
Angiosperm(Phanerogams),Phyllanthus urinaria,Phyllanthaceae,DNA,Class I,Herpesviridae,HSV,n/a,Aqueous extract,n/a,n/a,Anti herpes simplex virus property of Phyllanthus urinaria (L) as shown by plaque reduction assay,Parseno.,"Medical Journal of Indonessia Vol 7 No. 1, january- March 1998",
